Source,Target,Type,id,label,timeset,weight
6,101,Directed,390,NL/IL,,4.0
123,35,Directed,391,TR/CN,,5.0
72,34,Directed,392,MX/TH,,1.0
40,105,Directed,393,AR/KE,,2.0
49,87,Directed,394,JP/GB,,3.0
49,39,Directed,395,JP/KR,,10.0
107,107,Directed,396,EG/EG,,31.0
40,63,Directed,397,AR/ES,,7.0
123,63,Directed,398,TR/ES,,5.0
62,39,Directed,399,IN/KR,,1.0
40,87,Directed,400,AR/GB,,8.0
87,115,Directed,401,GB/EE,,13.0
77,44,Directed,402,VE/BR,,3.0
42,107,Directed,403,AU/EG,,2.0
63,115,Directed,404,ES/EE,,6.0
47,115,Directed,405,IT/EE,,2.0
62,34,Directed,406,IN/TH,,2.0
44,115,Directed,407,BR/EE,,1.0
123,115,Directed,408,TR/EE,,3.0
49,115,Directed,409,JP/EE,,3.0
27,87,Directed,410,DE/GB,,1.0
63,79,Directed,411,ES/NZ,,11.0
51,105,Directed,412,NG/KE,,2.0
47,62,Directed,413,IT/IN,,1.0
51,107,Directed,415,NG/EG,,1.0
7,39,Directed,416,MY/KR,,4.0
62,31,Directed,418,IN/FR,,4.0
40,79,Directed,419,AR/NZ,,8.0
44,79,Directed,420,BR/NZ,,6.0
